Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Empire State Building,New York City,1931,381.0,1250.0,102,All-Steel,Office
Chrysler Building,New York City,1930,319.0,1046.0,77,All-Steel,Office
70 Pine,New York City,1932,290.0,952.0,67,All-Steel,Office
The Trump Building,New York City,1930,283.0,927.0,71,All-Steel,Office
Comcast Building,New York City,1933,259.0,850.0,70,All-Steel,Office
Woolworth Building,New York City,1913,241.0,792.0,58,All-Steel,Office
Twenty Exchange,New York City,1931,226.0,741.0,57,All-Steel,Office
Terminal Tower,Cleveland,1928,216.0,708.0,52,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213.0,700.0,50,All-Steel,Office
500 Fifth Avenue,New York City,1931,212.0,697.0,59,All-Steel,Office
One Grand Central Place,New York City,1930,205.0,673.0,53,All-Steel,Office
One Wall Street,New York City,1931,199.0,654.0,50,All-Steel,Office
Chanin Building,New York City,1929,198.0,649.0,56,All-Steel,Office
570 Lexington Avenue,New York City,1931,196.0,643.0,50,All-Steel,Office
Mercantile Building,New York City,1929,193.0,632.0,48,All-Steel,Office
Waldorf Astoria New York,New York City,1931,191.0,625.0,47,All-Steel,Hotel
New York Life Building,New York City,1928,188.0,615.0,33,All-Steel,Office
Singer Building,New York City,1908,187.0,612.0,41,All-Steel,Office
Chicago Board of Trade,Chicago,1930,184.0,605.0,44,All-Steel,Office
Thurgood Marshall U.S. Court House,New York City,1936,180.0,590.0,37,All-Steel,
Gulf Tower,Pittsburgh,1932,177.0,582.0,44,All-Steel,Residential / Hotel
Municipal Building,New York City,1914,177.0,580.0,34,All-Steel,Office
Carew Tower,Cincinnati,1931,175.0,574.0,49,All-Steel,Office
Penobscot Building,Detroit,1928,173.0,568.0,47,All-Steel,Office
Chicago Temple Building,Chicago,1924,173.0,568.0,23,All-Steel,Office / Religious
Palmolive Building,Chicago,1929,172.0,565.0,37,All-Steel,Office
230 Park Avenue,New York City,1928,172.0,565.0,35,All-Steel,Office
30 Broad Street,New York City,1932,171.0,561.0,48,All-Steel,Office
Nelson Tower,New York City,1931,171.0,560.0,46,All-Steel,Office
Hotel Sherry-Netherland,New York City,1927,171.0,560.0,40,All-Steel,Hotel
Palácio Duque de Caxias,Rio de Janeiro,1941,,,21,N/A,Government
Pittsfield Building,Chicago,1927,170.0,557.0,38,All-Steel,Office
Leveque Tower,Columbus,1927,169.0,555.0,47,All-Steel,Office
Civic Opera Building,Chicago,1929,169.0,555.0,45,All-Steel,Office / Other
Equitable Building,New York City,1915,169.0,555.0,38,All-Steel,
Downtown by Philippe Starck,New York City,1927,168.0,551.0,42,All-Steel,Office
Philadelphia City Hall,Philadelphia,1901,167.0,548.0,7,All-Masonry,Government
Transportation Building,New York City,1928,166.0,545.0,44,All-Steel,Office
Mole Antonelliana,Turin,1889,166.0,543.0,5,N/A,Religious / Museum
The Downtown Club,New York City,1930,165.0,542.0,39,All-Steel,Hotel
Ritz Hotel Tower,New York City,1926,165.0,541.0,41,All-Steel,Hotel
14 Wall,New York City,1912,165.0,540.0,29,All-Steel,Office
Lefcourt Colonial Building,New York City,1929,164.0,538.0,45,All-Steel,Office
135 South LaSalle Street,Chicago,1934,163.0,535.0,45,All-Steel,Office
Cathedral of Learning,Pittsburgh,1936,163.0,535.0,42,All-Steel,Education
DuMont Building,New York City,1931,162.0,532.0,42,All-Steel,Office
One North LaSalle Street,Chicago,1930,162.0,530.0,48,All-Steel,Office
Ulmer Münster,Ulm,1890,162.0,530.0,N/A,All-Masonry,Religious
Altino Arantes,São Paulo,1947,161.0,528.0,36,All-Concrete,Office
Travelers Tower,Hartford,1919,161.0,527.0,24,All-Steel,Office
Morrison Hotel,Chicago,1925,160.0,526.0,45,All-Steel,Hotel
The Pierre,New York City,1930,160.0,525.0,44,All-Steel,Hotel
35 East Wacker Drive,Chicago,1927,159.0,523.0,40,All-Steel,Office
Club Quarters River Hotel,Chicago,1928,159.0,521.0,38,All-Steel,Office
26 Broadway,New York City,1924,159.0,520.0,31,All-Steel,Office
Newsweek Building,New York City,1931,158.0,518.0,42,All-Steel,Office
Hohe Domkirche St. Peter und Maria,Cologne,1880,157.0,516.0,N/A,All-Masonry,Religious
Bank of New York Building,New York City,1927,156.0,513.0,31,All-Steel,Office
Millennium Towers North,New York City,1930,156.0,512.0,44,All-Steel,Office
One Hanson Place,New York City,1929,156.0,512.0,42,All-Steel,Office
1407 Broadway,New York City,1950,156.0,512.0,41,All-Steel,Office
International Building,New York City,1935,156.0,512.0,41,All-Steel,Office
LaSalle-Wacker Building,Chicago,1930,156.0,512.0,41,All-Steel,Office
Continental Building,New York City,1931,156.0,511.0,42,All-Steel,Office
Bank of America Building,Baltimore,1929,155.0,509.0,37,All-Steel,Office
Johns-Manville Building,New York City,1931,153.0,503.0,43,All-Steel,Office
Lefcourt National Building,New York City,1928,153.0,503.0,37,All-Steel,Office
Pendry Chicago,Chicago,1929,153.0,503.0,37,All-Steel,Office
The Barclay,New York City,1926,152.0,498.0,32,All-Steel,Office
Marriott's Custom House,Boston,1915,151.0,496.0,32,All-Steel,Office
Guardian Building,Detroit,1929,151.0,496.0,40,All-Steel,Office
20 Pine,New York City,1928,151.0,495.0,38,All-Steel,Office
Cathedrale Notre-Dame de Rouen,Rouen,1876,151.0,495.0,N/A,All-Masonry,Religious
4th & Vine Tower,Cincinnati,1913,151.0,495.0,31,All-Steel,Office
John Hancock Building,Boston,1949,151.0,495.0,26,All-Steel,Office
Fuller Building,New York City,1929,150.0,492.0,42,All-Steel,Office
Loews Philadelphia Hotel,Philadelphia,1932,150.0,492.0,36,All-Steel,Office
One Rockefeller Plaza,New York City,1937,149.0,489.0,34,All-Steel,Office
City Investing Building,New York City,1908,148.0,487.0,33,All-Steel,Office
Ruine St. Nikolai,Hamburg,1874,148.0,485.0,N/A,All-Masonry,Religious
Grant Building,Pittsburgh,1930,148.0,485.0,40,All-Steel,Office
McGraw-Hill Building,New York City,1931,148.0,485.0,33,All-Steel,Office
Kansas City Power & Light Building,Kansas City,1931,147.0,481.0,34,All-Steel,Office
33 North LaSalle,Chicago,1930,146.0,479.0,38,All-Steel,Office
Consolidated Gas Building,New York City,1928,146.0,478.0,24,All-Steel,Office
Bankers Building,Chicago,1927,145.0,476.0,41,All-Steel,Office
Daily News Building,New York City,1930,145.0,476.0,36,All-Steel,Office
Commerce Court North,Toronto,1931,145.0,476.0,34,All-Steel,Office
Metropolitan Tower,Chicago,1924,145.0,475.0,37,All-Steel,Residential
Koppers Building,Pittsburgh,1929,145.0,475.0,34,All-Steel,Office
American Furniture Mart,Chicago,1926,144.0,474.0,29,Concrete Over Steel,Office
One South Broad,Philadelphia,1932,144.0,474.0,28,All-Steel,Office
Notre-Dame de Strasbourg,Strasbourg,1439,144.0,472.0,N/A,All-Masonry,Religious
Hotel InterContinental,Chicago,1929,144.0,471.0,42,All-Steel,Hotel
Wyndham New Yorker Hotel,New York City,1930,143.0,470.0,41,All-Steel,Hotel
Hampshire House,New York City,1931,143.0,470.0,37,All-Steel,Hotel
National Newark Building,Newark,1931,142.0,465.0,34,All-Steel,Office
Tribune Tower,Chicago,1925,142.0,465.0,34,All-Steel,Office
Randolph Tower,Chicago,1929,141.0,463.0,45,All-Steel,Office
Edificio Alas,Buenos Aires,1950,141.0,463.0,41,All-Concrete,Office
