Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Woolworth Building,New York City,1913,241.0,792.0,58,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213.0,700.0,50,All-Steel,Office
Singer Building,New York City,1908,187.0,612.0,41,All-Steel,Office
Municipal Building,New York City,1914,177.0,580.0,34,All-Steel,Office
Equitable Building,New York City,1915,169.0,555.0,38,All-Steel,
Philadelphia City Hall,Philadelphia,1901,167.0,548.0,7,All-Masonry,Government
Mole Antonelliana,Turin,1889,166.0,543.0,5,N/A,Religious / Museum
14 Wall,New York City,1912,165.0,540.0,29,All-Steel,Office
Ulmer Münster,Ulm,1890,162.0,530.0,N/A,All-Masonry,Religious
Travelers Tower,Hartford,1919,161.0,527.0,24,All-Steel,Office
Hohe Domkirche St. Peter und Maria,Cologne,1880,157.0,516.0,N/A,All-Masonry,Religious
Marriott's Custom House,Boston,1915,151.0,496.0,32,All-Steel,Office
Cathedrale Notre-Dame de Rouen,Rouen,1876,151.0,495.0,N/A,All-Masonry,Religious
4th & Vine Tower,Cincinnati,1913,151.0,495.0,31,All-Steel,Office
City Investing Building,New York City,1908,148.0,487.0,33,All-Steel,Office
Ruine St. Nikolai,Hamburg,1874,148.0,485.0,N/A,All-Masonry,Religious
Notre-Dame de Strasbourg,Strasbourg,1439,144.0,472.0,N/A,All-Masonry,Religious
Smith Tower,Seattle,1914,141.0,462.0,38,All-Steel,Office
Stephansdom,Vienna,1137,137.0,449.0,N/A,All-Masonry,Religious
Adams Express Building,New York City,1916,137.0,448.0,33,All-Steel,Office
Petrikirche,Hamburg,1878,133.0,436.0,N/A,All-Masonry,Religious
St. Peter's Basilica,Vatican City,1626,133.0,435.0,N/A,All-Masonry,Religious
Michaeliskirche,Hamburg,1762,132.0,433.0,N/A,All-Masonry,Religious
Bush Tower,New York City,1917,132.0,432.0,30,All-Steel,Office
Stiftsbasilika Sankt Martin,Landshut,1500,131.0,430.0,N/A,All-Masonry,Religious
Whitehall Building Annex,New York City,1910,129.0,424.0,31,All-Steel,Office
Greater Hudson Store,Detroit,1911,125.0,410.0,29,All-Steel,Office / Retail
St. Olav Church,Tallinn,1450,124.0,406.0,N/A,All-Masonry,Religious
St. Peter's Church,Riga,1746,123.0,404.0,N/A,All-Masonry,Religious
Onze-Lieve-Vrouwe-Kathedraal,Antwerp,1521,123.0,404.0,N/A,All-Masonry,Religious
Salisbury Cathedral,Salisbury,1315,123.0,404.0,N/A,All-Masonry,Religious
Peter and Paul Cathedral,St. Petersburg,1733,123.0,402.0,9,All-Masonry,Religious
Allied Chemical Building,New York City,1904,120.0,395.0,25,All-Steel,Office
15 Park Row,New York City,1899,119.0,391.0,30,All-Steel,Office
First National Bank Building,Pittsburgh,1912,118.0,387.0,26,All-Steel,Office
Liberty Tower,New York City,1910,117.0,385.0,33,All-Steel,Office
Hanover National Bank Building,New York City,1903,117.0,385.0,22,All-Steel,Office
Knickerbocker Trust Building,New York City,1909,116.0,381.0,27,All-Steel,Office
Berlin Cathedral,Berlin,1905,115.0,377.0,N/A,All-Masonry,Religious
Katharinenkirche,Hamburg,1659,115.0,377.0,N/A,All-Masonry,Religious
Neues Rathaus Leipzig,Leipzig,1905,115.0,376.0,N/A,All-Steel,Government
Santa Maria del Fiore,Florence,1436,115.0,376.0,N/A,All-Masonry,Religious
Domtoren,Utrecht,1382,112.0,369.0,N/A,All-Masonry,Religious
St. Paul's Cathedral,London,1710,111.0,365.0,N/A,All-Masonry,Religious
Illinois State Capitol,Springfield (IL),1888,110.0,361.0,5,N/A,Government
Hamburg Rathaus,Hamburg,1897,110.0,360.0,N/A,N/A,Government
Herald Towers Apartments,New York City,1912,110.0,360.0,26,N/A,Residential / Hotel
Herz-Jesu-Kirche,Graz,1887,110.0,360.0,N/A,All-Masonry,Religious
Nieuwe Kerk,Delft,1496,109.0,358.0,N/A,All-Masonry,Religious
Milwaukee City Hall,Milwaukee,1895,108.0,353.0,15,All-Steel,Government
60 Wall Street,New York City,1905,107.0,352.0,26,All-Steel,Office
Trinity Building,New York City,1905,107.0,350.0,22,All-Steel,Office
Milan Cathedral,Milan,1813,107.0,350.0,N/A,All-Masonry,Religious
Manhattan Life Insurance Building,New York City,1894,106.0,348.0,18,All-Steel,Office
Henry W. Oliver Building,Pittsburgh,1910,106.0,347.0,25,All-Steel,Office
Farmers Bank Building,Pittsburgh,1902,105.0,344.0,25,All-Steel,Office
St. Nicholas Church,Tallinn,1515,105.0,344.0,N/A,N/A,Religious
St. Peter's Church,Dortmund,1322,105.0,344.0,N/A,All-Masonry,Religious
Land Title Building Annex,Philadelphia,1902,105.0,344.0,22,All-Steel,Office
5 Penn Plaza,New York City,1916,105.0,343.0,24,All-Steel,Office
St. Reinold's Church,Dortmund,1270,104.0,341.0,N/A,All-Masonry,Religious
Candler Building,New York City,1912,104.0,341.0,24,N/A,Office
Minneapolis City Hall,Minneapolis,1906,104.0,341.0,14,N/A,Government
Wall Street Exchange Building,New York City,1903,104.0,341.0,25,All-Steel,Office
101 Greenwhich Street,New York City,1907,104.0,340.0,26,All-Steel,Office
Old City Hall,Toronto,1899,104.0,340.0,7,N/A,
St. Patrick's Cathedral,New York City,1879,103.0,339.0,N/A,All-Masonry,
Palace of Westminster,London,1859,102.0,336.0,N/A,All-Masonry,Government
World's Tower Building,New York City,1914,102.0,335.0,30,N/A,Office
New York Tribune Building,New York City,1907,102.0,335.0,19,All-Masonry,Office
Saint Isaac's Cathedral,St. Petersburg,1858,102.0,333.0,N/A,All-Masonry,Religious / Museum
Frick Building,Pittsburgh,1902,101.0,330.0,20,All-Steel,Office
Tower Building,Baltimore,1912,101.0,330.0,16,All-Steel,Office
65 Broadway,New York City,1917,101.0,330.0,22,N/A,Office
Biltmore Hotel,New York City,1914,,,26,All-Steel,Hotel
43 Exchange Place,New York City,1903,100.0,327.0,25,All-Steel,Office
Daniels & Fisher Tower,Denver,1910,99.0,325.0,20,All-Steel,Office
City Federal Condominiums,Birmingham (AL),1913,99.0,325.0,27,All-Steel,Office
Lewisohn Building,New York City,1915,99.0,325.0,22,N/A,Office
90 West Street,New York City,1907,99.0,324.0,23,All-Steel,Office
Chrysler House,Detroit,1913,99.0,323.0,23,All-Steel,
Onze Lieve Vrouwentoren,Amersfoort,1470,98.0,323.0,N/A,All-Masonry,Religious
Royal Liver Building,Liverpool,1911,98.0,322.0,13,Composite,Office
Chicago Board of Trade Building,Chicago,1885,98.0,322.0,10,N/A,Office
Vienna City Hall,Vienna,1883,98.0,322.0,3,N/A,Government
Sint Vituskerk,Hilversum,1892,98.0,322.0,N/A,N/A,Religious
1 North Dearborn,Chicago,1905,98.0,320.0,17,All-Steel,Office / Retail
71 Broadway,New York City,1898,97.0,319.0,22,All-Steel,Office
Oakland City Hall,Oakland,1914,97.0,319.0,18,All-Steel,Government
United States Realty Building,New York City,1907,97.0,318.0,22,All-Steel,Office
Allegheny County Courthouse,Pittsburgh,1888,97.0,318.0,5,All-Masonry,Government
Grote- of Onze Lieve Vrouwekerk,Breda,1509,97.0,318.0,N/A,All-Masonry,Religious
Martinitoren,Groningen,1627,97.0,318.0,N/A,All-Masonry,Religious
Sint Martinitoren,Doesburg,1430,97.0,318.0,N/A,All-Masonry,Religious
St. Paul's Church,Munich,1906,97.0,318.0,N/A,All-Masonry,Religious
309 Madison Avenue,New York City,1917,97.0,317.0,26,All-Steel,Office
37 Wall Street,New York City,1907,97.0,317.0,25,All-Steel,Residential
80 Maiden Lane,New York City,1912,96.0,315.0,26,N/A,Office
St. Paul Building,New York City,1898,96.0,315.0,26,All-Steel,Office
Old Post Office Building,Washington D.C.,1899,96.0,315.0,12,All-Steel,Office
