Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Metropolitan Life Tower,New York City,1909,213,700,50,All-Steel,Office
Singer Building,New York City,1908,187,612,41,All-Steel,Office
Philadelphia City Hall,Philadelphia,1901,167,548,7,All-Masonry,Government
Mole Antonelliana,Turin,1889,166,543,5,N/A,Religious / Museum
Ulmer Münster,Ulm,1890,162,530,N/A,All-Masonry,Religious
Hohe Domkirche St. Peter und Maria,Cologne,1880,157,516,N/A,All-Masonry,Religious
Cathedrale Notre-Dame de Rouen,Rouen,1876,151,495,N/A,All-Masonry,Religious
City Investing Building,New York City,1908,148,487,33,All-Steel,Office
Ruine St. Nikolai,Hamburg,1874,148,485,N/A,All-Masonry,Religious
Notre-Dame de Strasbourg,Strasbourg,1439,144,472,N/A,All-Masonry,Religious
Stephansdom,Vienna,1137,137,449,N/A,All-Masonry,Religious
Petrikirche,Hamburg,1878,133,436,N/A,All-Masonry,Religious
St. Peter's Basilica,Vatican City,1626,133,435,N/A,All-Masonry,Religious
Michaeliskirche,Hamburg,1762,132,433,N/A,All-Masonry,Religious
Stiftsbasilika Sankt Martin,Landshut,1500,131,430,N/A,All-Masonry,Religious
Whitehall Building Annex,New York City,1910,129,424,31,All-Steel,Office
St. Olav Church,Tallinn,1450,124,406,N/A,All-Masonry,Religious
St. Peter's Church,Riga,1746,123,404,N/A,All-Masonry,Religious
Onze-Lieve-Vrouwe-Kathedraal,Antwerp,1521,123,404,N/A,All-Masonry,Religious
Salisbury Cathedral,Salisbury,1315,123,404,N/A,All-Masonry,Religious
Peter and Paul Cathedral,St. Petersburg,1733,123,402,9,All-Masonry,Religious
Allied Chemical Building,New York City,1904,120,395,25,All-Steel,Office
15 Park Row,New York City,1899,119,391,30,All-Steel,Office
Liberty Tower,New York City,1910,117,385,33,All-Steel,Office
Hanover National Bank Building,New York City,1903,117,385,22,All-Steel,Office
Knickerbocker Trust Building,New York City,1909,116,381,27,All-Steel,Office
Berlin Cathedral,Berlin,1905,115,377,N/A,All-Masonry,Religious
Katharinenkirche,Hamburg,1659,115,377,N/A,All-Masonry,Religious
Neues Rathaus Leipzig,Leipzig,1905,115,376,N/A,All-Steel,Government
Santa Maria del Fiore,Florence,1436,115,376,N/A,All-Masonry,Religious
Domtoren,Utrecht,1382,112,369,N/A,All-Masonry,Religious
St. Paul's Cathedral,London,1710,111,365,N/A,All-Masonry,Religious
Illinois State Capitol,Springfield (IL),1888,110,361,5,N/A,Government
Hamburg Rathaus,Hamburg,1897,110,360,N/A,N/A,Government
Herz-Jesu-Kirche,Graz,1887,110,360,N/A,All-Masonry,Religious
Nieuwe Kerk,Delft,1496,109,358,N/A,All-Masonry,Religious
Milwaukee City Hall,Milwaukee,1895,108,353,15,All-Steel,Government
60 Wall Street,New York City,1905,107,352,26,All-Steel,Office
Trinity Building,New York City,1905,107,350,22,All-Steel,Office
Milan Cathedral,Milan,1813,107,350,N/A,All-Masonry,Religious
Manhattan Life Insurance Building,New York City,1894,106,348,18,All-Steel,Office
Henry W. Oliver Building,Pittsburgh,1910,106,347,25,All-Steel,Office
Farmers Bank Building,Pittsburgh,1902,105,344,25,All-Steel,Office
St. Nicholas Church,Tallinn,1515,105,344,N/A,N/A,Religious
St. Peter's Church,Dortmund,1322,105,344,N/A,All-Masonry,Religious
Land Title Building Annex,Philadelphia,1902,105,344,22,All-Steel,Office
St. Reinold's Church,Dortmund,1270,104,341,N/A,All-Masonry,Religious
Minneapolis City Hall,Minneapolis,1906,104,341,14,N/A,Government
Wall Street Exchange Building,New York City,1903,104,341,25,All-Steel,Office
101 Greenwhich Street,New York City,1907,104,340,26,All-Steel,Office
Old City Hall,Toronto,1899,104,340,7,N/A,
St. Patrick's Cathedral,New York City,1879,103,339,N/A,All-Masonry,
Palace of Westminster,London,1859,102,336,N/A,All-Masonry,Government
New York Tribune Building,New York City,1907,102,335,19,All-Masonry,Office
Saint Isaac's Cathedral,St. Petersburg,1858,102,333,N/A,All-Masonry,Religious / Museum
Frick Building,Pittsburgh,1902,101,330,20,All-Steel,Office
43 Exchange Place,New York City,1903,100,327,25,All-Steel,Office
Daniels & Fisher Tower,Denver,1910,99,325,20,All-Steel,Office
90 West Street,New York City,1907,99,324,23,All-Steel,Office
Onze Lieve Vrouwentoren,Amersfoort,1470,98,323,N/A,All-Masonry,Religious
Chicago Board of Trade Building,Chicago,1885,98,322,10,N/A,Office
Vienna City Hall,Vienna,1883,98,322,3,N/A,Government
Sint Vituskerk,Hilversum,1892,98,322,N/A,N/A,Religious
1 North Dearborn,Chicago,1905,98,320,17,All-Steel,Office / Retail
71 Broadway,New York City,1898,97,319,22,All-Steel,Office
United States Realty Building,New York City,1907,97,318,22,All-Steel,Office
Allegheny County Courthouse,Pittsburgh,1888,97,318,5,All-Masonry,Government
Grote- of Onze Lieve Vrouwekerk,Breda,1509,97,318,N/A,All-Masonry,Religious
Martinitoren,Groningen,1627,97,318,N/A,All-Masonry,Religious
Sint Martinitoren,Doesburg,1430,97,318,N/A,All-Masonry,Religious
St. Paul's Church,Munich,1906,97,318,N/A,All-Masonry,Religious
37 Wall Street,New York City,1907,97,317,25,All-Steel,Residential
St. Paul Building,New York City,1898,96,315,26,All-Steel,Office
Old Post Office Building,Washington D.C.,1899,96,315,12,All-Steel,Office
Bowling Green Offices,New York City,1898,96,315,N/A,N/A,Office
Brussels Town Hall,Brussels,1455,96,315,N/A,All-Masonry,Government
Texas State Capitol,Austin,1888,95,311,4,All-Masonry,Government
World Building,New York City,1890,94,309,20,All-Steel,Office
Rotes Rathaus,Berlin,1871,94,308,4,All-Masonry,
Belmont Hotel,New York City,1908,94,308,22,All-Steel,Hotel
Flatiron Building,New York City,1902,94,307,22,All-Steel,
The St. Regis,New York City,1904,93,306,18,N/A,Hotel
Midtown Towers,Pittsburgh,1907,93,305,18,All-Steel,Office
Grote- of St Jacobskerk,The Hague,1424,93,305,N/A,All-Masonry,Religious
Commercial Cable Building,New York City,1897,93,304,21,All-Steel,Office
Madison Square Garden,New York City,1890,93,304,15,N/A,Observation / Office / Exhibition
Kansas State Capitol,Topeka,1903,93,304,8,N/A,Government
Edison Building,Chicago,1907,92,303,20,All-Steel,Office
The National,Chicago,1907,92,303,20,All-Steel,
Masonic Temple,Chicago,1892,92,302,21,All-Steel,Office
Arcade Building,Philadelphia,1901,91,300,21,N/A,Office
American Woolen Building,New York City,1909,91,300,19,N/A,Office
The Carlyle,Pittsburgh,1906,91,300,22,All-Steel,Office
Commonwealth Building,Pittsburgh,1906,91,300,21,All-Steel,Office
St. Jacobuskerk,The Hague,1878,91,299,N/A,N/A,Religious
Call Building,San Francisco,1898,91,298,19,All-Steel,Office
St. James' Church,Louth,1515,90,294,N/A,All-Masonry,Religious
Masonic Hall,New York City,1909,89,292,19,N/A,Office
St. Mary Redcliffe,Bristol,1442,89,292,N/A,All-Masonry,Religious
Park Place Tower,New York City,1895,89,291,23,All-Steel,Office
