Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Chrysler Building,New York City,1930,319,1046,77,All-Steel,Office
The Trump Building,New York City,1930,283,927,71,All-Steel,Office
Woolworth Building,New York City,1913,241,792,58,All-Steel,Office
Terminal Tower,Cleveland,1928,216,708,52,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213,700,50,All-Steel,Office
One Grand Central Place,New York City,1930,205,673,53,All-Steel,Office
Chanin Building,New York City,1929,198,649,56,All-Steel,Office
Mercantile Building,New York City,1929,193,632,48,All-Steel,Office
New York Life Building,New York City,1928,188,615,33,All-Steel,Office
Singer Building,New York City,1908,187,612,41,All-Steel,Office
Chicago Board of Trade,Chicago,1930,184,605,44,All-Steel,Office
Municipal Building,New York City,1914,177,580,34,All-Steel,Office
Penobscot Building,Detroit,1928,173,568,47,All-Steel,Office
Chicago Temple Building,Chicago,1924,173,568,23,All-Steel,Office / Religious
Palmolive Building,Chicago,1929,172,565,37,All-Steel,Office
230 Park Avenue,New York City,1928,172,565,35,All-Steel,Office
Hotel Sherry-Netherland,New York City,1927,171,560,40,All-Steel,Hotel
Pittsfield Building,Chicago,1927,170,557,38,All-Steel,Office
Leveque Tower,Columbus,1927,169,555,47,All-Steel,Office
Civic Opera Building,Chicago,1929,169,555,45,All-Steel,Office / Other
Equitable Building,New York City,1915,169,555,38,All-Steel,
Downtown by Philippe Starck,New York City,1927,168,551,42,All-Steel,Office
Philadelphia City Hall,Philadelphia,1901,167,548,7,All-Masonry,Government
Transportation Building,New York City,1928,166,545,44,All-Steel,Office
Mole Antonelliana,Turin,1889,166,543,5,N/A,Religious / Museum
The Downtown Club,New York City,1930,165,542,39,All-Steel,Hotel
Ritz Hotel Tower,New York City,1926,165,541,41,All-Steel,Hotel
14 Wall,New York City,1912,165,540,29,All-Steel,Office
Lefcourt Colonial Building,New York City,1929,164,538,45,All-Steel,Office
One North LaSalle Street,Chicago,1930,162,530,48,All-Steel,Office
Ulmer Münster,Ulm,1890,162,530,N/A,All-Masonry,Religious
Travelers Tower,Hartford,1919,161,527,24,All-Steel,Office
Morrison Hotel,Chicago,1925,160,526,45,All-Steel,Hotel
The Pierre,New York City,1930,160,525,44,All-Steel,Hotel
35 East Wacker Drive,Chicago,1927,159,523,40,All-Steel,Office
Club Quarters River Hotel,Chicago,1928,159,521,38,All-Steel,Office
26 Broadway,New York City,1924,159,520,31,All-Steel,Office
Hohe Domkirche St. Peter und Maria,Cologne,1880,157,516,N/A,All-Masonry,Religious
Bank of New York Building,New York City,1927,156,513,31,All-Steel,Office
Millennium Towers North,New York City,1930,156,512,44,All-Steel,Office
One Hanson Place,New York City,1929,156,512,42,All-Steel,Office
LaSalle-Wacker Building,Chicago,1930,156,512,41,All-Steel,Office
Bank of America Building,Baltimore,1929,155,509,37,All-Steel,Office
Lefcourt National Building,New York City,1928,153,503,37,All-Steel,Office
Pendry Chicago,Chicago,1929,153,503,37,All-Steel,Office
The Barclay,New York City,1926,152,498,32,All-Steel,Office
Marriott's Custom House,Boston,1915,151,496,32,All-Steel,Office
Guardian Building,Detroit,1929,151,496,40,All-Steel,Office
20 Pine,New York City,1928,151,495,38,All-Steel,Office
Cathedrale Notre-Dame de Rouen,Rouen,1876,151,495,N/A,All-Masonry,Religious
4th & Vine Tower,Cincinnati,1913,151,495,31,All-Steel,Office
Fuller Building,New York City,1929,150,492,42,All-Steel,Office
City Investing Building,New York City,1908,148,487,33,All-Steel,Office
Ruine St. Nikolai,Hamburg,1874,148,485,N/A,All-Masonry,Religious
Grant Building,Pittsburgh,1930,148,485,40,All-Steel,Office
33 North LaSalle,Chicago,1930,146,479,38,All-Steel,Office
Consolidated Gas Building,New York City,1928,146,478,24,All-Steel,Office
Bankers Building,Chicago,1927,145,476,41,All-Steel,Office
Daily News Building,New York City,1930,145,476,36,All-Steel,Office
Metropolitan Tower,Chicago,1924,145,475,37,All-Steel,Residential
Koppers Building,Pittsburgh,1929,145,475,34,All-Steel,Office
American Furniture Mart,Chicago,1926,144,474,29,Concrete Over Steel,Office
