Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Empire State Building,New York City,1931,381,1250,102,All-Steel,Office
Chrysler Building,New York City,1930,319,1046,77,All-Steel,Office
70 Pine,New York City,1932,290,952,67,All-Steel,Office
The Trump Building,New York City,1930,283,927,71,All-Steel,Office
Comcast Building,New York City,1933,259,850,70,All-Steel,Office
Woolworth Building,New York City,1913,241,792,58,All-Steel,Office
Twenty Exchange,New York City,1931,226,741,57,All-Steel,Office
Terminal Tower,Cleveland,1928,216,708,52,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213,700,50,All-Steel,Office
500 Fifth Avenue,New York City,1931,212,697,59,All-Steel,Office
One Grand Central Place,New York City,1930,205,673,53,All-Steel,Office
One Wall Street,New York City,1931,199,654,50,All-Steel,Office
Chanin Building,New York City,1929,198,649,56,All-Steel,Office
570 Lexington Avenue,New York City,1931,196,643,50,All-Steel,Office
Mercantile Building,New York City,1929,193,632,48,All-Steel,Office
Waldorf Astoria New York,New York City,1931,191,625,47,All-Steel,Hotel
New York Life Building,New York City,1928,188,615,33,All-Steel,Office
Singer Building,New York City,1908,187,612,41,All-Steel,Office
Chicago Board of Trade,Chicago,1930,184,605,44,All-Steel,Office
Thurgood Marshall U.S. Court House,New York City,1936,180,590,37,All-Steel,
Gulf Tower,Pittsburgh,1932,177,582,44,All-Steel,Residential / Hotel
Municipal Building,New York City,1914,177,580,34,All-Steel,Office
Carew Tower,Cincinnati,1931,175,574,49,All-Steel,Office
Penobscot Building,Detroit,1928,173,568,47,All-Steel,Office
Chicago Temple Building,Chicago,1924,173,568,23,All-Steel,Office / Religious
Palmolive Building,Chicago,1929,172,565,37,All-Steel,Office
230 Park Avenue,New York City,1928,172,565,35,All-Steel,Office
30 Broad Street,New York City,1932,171,561,48,All-Steel,Office
Nelson Tower,New York City,1931,171,560,46,All-Steel,Office
Hotel Sherry-Netherland,New York City,1927,171,560,40,All-Steel,Hotel
Pittsfield Building,Chicago,1927,170,557,38,All-Steel,Office
Leveque Tower,Columbus,1927,169,555,47,All-Steel,Office
Civic Opera Building,Chicago,1929,169,555,45,All-Steel,Office / Other
Equitable Building,New York City,1915,169,555,38,All-Steel,
Downtown by Philippe Starck,New York City,1927,168,551,42,All-Steel,Office
