Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Metropolitan Life Tower,New York City,United States,1909,213,700,50.0,All-Steel,Office
Singer Building,New York City,United States,1908,187,612,41.0,All-Steel,Office
Philadelphia City Hall,Philadelphia,United States,1901,167,548,7.0,All-Masonry,Government
Mole Antonelliana,Turin,Italy,1889,166,543,5.0,,Religious / Museum
Ulmer Münster,Ulm,Germany,1890,162,530,,All-Masonry,Religious
Hohe Domkirche St. Peter und Maria,Cologne,Germany,1880,157,516,,All-Masonry,Religious
Cathedrale Notre-Dame de Rouen,Rouen,France,1876,151,495,,All-Masonry,Religious
City Investing Building,New York City,United States,1908,148,487,33.0,All-Steel,Office
Ruine St. Nikolai,Hamburg,Germany,1874,148,485,,All-Masonry,Religious
Notre-Dame de Strasbourg,Strasbourg,France,1439,144,472,,All-Masonry,Religious
Stephansdom,Vienna,Austria,1137,137,449,,All-Masonry,Religious
Petrikirche,Hamburg,Germany,1878,133,436,,All-Masonry,Religious
St. Peter's Basilica,Vatican City,Vatican City,1626,133,435,,All-Masonry,Religious
Michaeliskirche,Hamburg,Germany,1762,132,433,,All-Masonry,Religious
Stiftsbasilika Sankt Martin,Landshut,Germany,1500,131,430,,All-Masonry,Religious
Whitehall Building Annex,New York City,United States,1910,129,424,31.0,All-Steel,Office
St. Olav Church,Tallinn,Estonia,1450,124,406,,All-Masonry,Religious
St. Peter's Church,Riga,Latvia,1746,123,404,,All-Masonry,Religious
Onze-Lieve-Vrouwe-Kathedraal,Antwerp,Belgium,1521,123,404,,All-Masonry,Religious
Salisbury Cathedral,Salisbury,United Kingdom,1315,123,404,,All-Masonry,Religious
Peter and Paul Cathedral,St. Petersburg,Russia,1733,123,402,9.0,All-Masonry,Religious
Allied Chemical Building,New York City,United States,1904,120,395,25.0,All-Steel,Office
15 Park Row,New York City,United States,1899,119,391,30.0,All-Steel,Office
Liberty Tower,New York City,United States,1910,117,385,33.0,All-Steel,Office
Hanover National Bank Building,New York City,United States,1903,117,385,22.0,All-Steel,Office
Knickerbocker Trust Building,New York City,United States,1909,116,381,27.0,All-Steel,Office
Berlin Cathedral,Berlin,Germany,1905,115,377,,All-Masonry,Religious
Katharinenkirche,Hamburg,Germany,1659,115,377,,All-Masonry,Religious
Neues Rathaus Leipzig,Leipzig,Germany,1905,115,376,,All-Steel,Government
Santa Maria del Fiore,Florence,Italy,1436,115,376,,All-Masonry,Religious
Domtoren,Utrecht,Netherlands,1382,112,369,,All-Masonry,Religious
St. Paul's Cathedral,London,United Kingdom,1710,111,365,,All-Masonry,Religious
Illinois State Capitol,Springfield (IL),United States,1888,110,361,5.0,,Government
Hamburg Rathaus,Hamburg,Germany,1897,110,360,,,Government
Herz-Jesu-Kirche,Graz,Austria,1887,110,360,,All-Masonry,Religious
Nieuwe Kerk,Delft,Netherlands,1496,109,358,,All-Masonry,Religious
Milwaukee City Hall,Milwaukee,United States,1895,108,353,15.0,All-Steel,Government
60 Wall Street,New York City,United States,1905,107,352,26.0,All-Steel,Office
Trinity Building,New York City,United States,1905,107,350,22.0,All-Steel,Office
Milan Cathedral,Milan,Italy,1813,107,350,,All-Masonry,Religious
Manhattan Life Insurance Building,New York City,United States,1894,106,348,18.0,All-Steel,Office
Henry W. Oliver Building,Pittsburgh,United States,1910,106,347,25.0,All-Steel,Office
Farmers Bank Building,Pittsburgh,United States,1902,105,344,25.0,All-Steel,Office
St. Nicholas Church,Tallinn,Estonia,1515,105,344,,,Religious
St. Peter's Church,Dortmund,Germany,1322,105,344,,All-Masonry,Religious
Land Title Building Annex,Philadelphia,United States,1902,105,344,22.0,All-Steel,Office
St. Reinold's Church,Dortmund,Germany,1270,104,341,,All-Masonry,Religious
Minneapolis City Hall,Minneapolis,United States,1906,104,341,14.0,,Government
Wall Street Exchange Building,New York City,United States,1903,104,341,25.0,All-Steel,Office
101 Greenwhich Street,New York City,United States,1907,104,340,26.0,All-Steel,Office
Old City Hall,Toronto,Canada,1899,104,340,7.0,,
