Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Westerkerk,Amsterdam,Netherlands,1638,86,282,,All-Masonry,Religious
Cuneratoren,Rhenen,Netherlands,1531,85,279,,All-Masonry,Religious
Rooms Katholieke Kerk van de H.H. Nicolaas en Barbara,Amsterdam,Netherlands,1883,85,279,,,Religious
Sint Dominicuskerk,Amsterdam,Netherlands,1884,85,279,,,Religious
St. Lambertusbasiliek,Hengelo,Netherlands,1890,85,279,,,Religious
Saint Paul's Episcopal Cathedral,Buffalo,United States,1870,84,275,,All-Masonry,Religious
Iowa State Capitol,Des Moines,United States,1884,84,274,4.0,,Government
Georgia State Capitol,Atlanta,United States,1889,83,272,4.0,,Government
Lincoln Cathedral,Lincoln,United States,1548,83,271,,All-Masonry,Religious
Erie County Hall,Buffalo,United States,1876,82,270,3.0,,Government
St. Pancras Renaissance London Hotel,London,United Kingdom,1873,82,269,9.0,All-Masonry,
Grote Kerk,Sittard,Netherlands,1505,82,269,,,Religious
Michigan State Capitol,Lansing,United States,1878,81,267,4.0,All-Masonry,Government
Grote- of St. Bavokerk,Haarlem,Netherlands,1520,80,262,,All-Masonry,Religious
New York Tribune Building,New York City,United States,1875,79,260,9.0,All-Masonry,Office
Oude Kerk,Delft,Netherlands,1350,79,259,,All-Masonry,Religious
St. Jozef- or Heuvelkerk,Tilburg,Netherlands,1889,79,259,,,Religious
Field Building,New York City,United States,1885,79,258,13.0,,Office
Metropolitan Building,Minneapolis,United States,1890,79,258,12.0,,Office
Der Aa-Kerk,Groningen,Netherlands,1718,78,256,,All-Masonry,Religious
Sint Jozefkerk,Groningen,Netherlands,1887,78,256,,,Religious
St. Matthew's German Evangelical Lutheran Church,"Charleston, SC",United States,1872,78,256,,All-Masonry,Religious
Indiana State House,Indianapolis,United States,1888,78,255,4.0,All-Masonry,Government
H. Bonaventurakerk,Woerden,Netherlands,1890,77,253,,,Religious
Steeple Square,Dubuque,United States,1867,77,252,,All-Masonry,Religious
California State Capitol,Sacramento,United States,1874,75,247,6.0,All-Masonry,Government
Great St. Martin Church,Cologne,Germany,1250,75,246,,All-Masonry,Religious
Grote of Sint-Bavokerk,Haarlem,Netherlands,1520,75,246,,All-Masonry,Religious
Peperbus,Zwolle,Netherlands,1540,75,246,,All-Masonry,Religious
Zuidertoren,Enkhuizen,Netherlands,1524,75,246,,All-Masonry,Religious
Old South Church,Boston,United States,1873,75,246,,All-Masonry,
Saint Louis Roman Catholic Church,Buffalo,United States,1889,75,245,,,Religious
Sint Petrus' Bandenkerk (Hilvarenbeek),Hilvarenbeek,Netherlands,1615,75,244,,All-Masonry,Religious
Domino Sugar Refinery,New York City,United States,1883,73,240,13.0,All-Masonry,Industrial
Church of the Covenant,Boston,United States,1867,73,240,,All-Masonry,Religious
Grote Kerk,Naarden,Netherlands,1661,73,240,,,Religious
Taj Mahal,Agra,India,1653,73,240,,All-Masonry,Religious
Auditorium Building,Chicago,United States,1889,73,238,17.0,All-Masonry,Office / Hotel
Katarina Church,Stockholm,Sweden,1695,72,236,,All-Masonry,Religious
Maria van Jessekerk,Delft,Netherlands,1882,72,236,,,Religious
St. Martinuskerk,Weert,Netherlands,1456,72,236,,All-Masonry,Religious
La Cathedrale Notre-Dame de Paris,Paris,France,1345,71,233,2.0,All-Masonry,
St. Paul's Episcopal Cathedral,Syracuse,Italy,1885,71,232,,All-Masonry,Religious
Western Union Building,New York City,United States,1875,70,230,10.0,All-Masonry,Office
St. Michael's Church,Rochester,United States,1890,70,230,,,Religious
Hervormde Kerk Tzum,Franeker,Netherlands,1549,70,230,,All-Masonry,Religious
Sint Jan,Maastricht,Netherlands,1475,70,230,,All-Masonry,Religious
