Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Centro Financiero Latino,Caracas,1978,,,32,N/A,Government
Two Liberty Place,Philadelphia,1990,258.0,848.0,58,All-Steel,Office
MesseTurm,Frankfurt am Main,1990,257.0,842.0,64,All-Concrete,
U.S. Steel Tower,Pittsburgh,1970,256.0,841.0,64,All-Steel,Office
Rialto Towers,Melbourne,1986,251.0,824.0,63,All-Concrete,Office
One Atlantic Center,Atlanta,1987,250.0,820.0,50,Concrete-Steel Composite,Office
KLI 63 Building,Seoul,1985,250.0,819.0,60,All-Steel,Office
CitySpire,New York City,1987,248.0,814.0,75,All-Concrete,Residential / Office
28 Liberty,New York City,1961,248.0,813.0,60,All-Steel,Office
MetLife Building,New York City,1963,246.0,808.0,59,All-Steel,Office
Menara Maybank,Kuala Lumpur,1988,244.0,799.0,50,All-Concrete,Office
BNY Mellon Bank Center,Philadelphia,1990,241.0,792.0,54,Concrete-Steel Composite,Office
Woolworth Building,New York City,1913,241.0,792.0,58,All-Steel,Office
IDS Center,Minneapolis,1973,241.0,792.0,55,Concrete-Steel Composite,Office
200 Clarendon,Boston,1976,241.0,790.0,62,All-Steel,Office
Sunshine 60 Tower,Tokyo,1978,240.0,787.0,60,Concrete-Steel Composite,Office
Comerica Bank Tower,Dallas,1987,240.0,787.0,60,Concrete-Steel Composite,Office / Residential / Hotel
Commerce Court West,Toronto,1973,239.0,784.0,57,Concrete-Steel Composite,Office
MV Lomonosov State University,Moscow,1953,239.0,784.0,39,All-Steel,Education
TC Energy Center,Houston,1983,238.0,780.0,56,All-Steel,
555 California Street,San Francisco,1969,237.0,779.0,52,All-Steel,Office
1 Worldwide Plaza,New York City,1989,237.0,778.0,47,All-Steel,Office
Wells Fargo Center,Minneapolis,1988,236.0,775.0,56,Concrete-Steel Composite,Office
1201 Third Avenue Tower,Seattle,1988,235.0,772.0,55,All-Steel,Office
AXA Tower,Singapore,1986,235.0,770.0,52,Concrete-Steel Composite,Office
70 West Madison,Chicago,1981,234.0,767.0,57,Concrete-Steel Composite,
Southeast Financial Center,Miami,1984,233.0,764.0,55,Composite,Office
Heritage Plaza,Houston,1987,232.0,762.0,53,All-Steel,Office
Menara KOMTAR,Penang,1985,232.0,760.0,65,All-Concrete,Office
Palace of Culture and Science,Warsaw,1955,231.0,757.0,42,All-Steel,Office
Enterprise Plaza,Houston,1980,230.0,756.0,55,Concrete-Steel Composite,Office
787 Seventh Avenue,New York City,1985,229.0,752.0,51,All-Steel,Office
One Penn Plaza,New York City,1972,229.0,750.0,57,All-Steel,Office
1251 Avenue of the Americas,New York City,1972,229.0,750.0,54,All-Steel,Office
Prudential Tower,Boston,1964,229.0,750.0,52,All-Steel,Office
MLC Centre,Sydney,1977,228.0,748.0,60,All-Concrete,Office
Trade Tower,Seoul,1988,228.0,748.0,55,All-Steel,Office
60 Wall Street,New York City,1989,227.0,745.0,55,All-Steel,Office
One Astor Plaza,New York City,1972,227.0,745.0,54,Concrete-Steel Composite,Office
One Liberty Plaza,New York City,1972,226.0,743.0,54,All-Steel,Office
Swissotel The Stamford,Singapore,1986,226.0,741.0,73,Composite,Hotel
Twenty Exchange,New York City,1931,226.0,741.0,57,All-Steel,Office
Two Union Square,Seattle,1989,226.0,740.0,56,Concrete-Steel Composite,Office
Wells Fargo North Tower,Los Angeles,1983,226.0,740.0,54,All-Steel,Office
Three World Financial Center,New York City,1986,225.0,739.0,51,All-Steel,Office
Parque Central Torre Officinas I,Caracas,1979,225.0,738.0,56,All-Concrete,Office
Parque Central Torre Officinas II,Caracas,1983,225.0,738.0,56,All-Concrete,Office
Shinjuku Mitsui Building,Tokyo,1974,225.0,738.0,55,All-Steel,Office
Dallas Arts Tower,Dallas,1987,225.0,738.0,55,All-Steel,
Bank of America Plaza,Los Angeles,1975,224.0,735.0,55,All-Steel,Office
1540 Broadway,New York City,1990,223.0,733.0,42,All-Steel,Office
1600 Smith Street,Houston,1984,223.0,732.0,55,All-Steel,Office
Olympia Centre,Chicago,1986,223.0,731.0,63,All-Concrete,Residential / Office
TD Tower,Toronto,1967,223.0,731.0,56,All-Steel,
Shinjuku Center Building,Tokyo,1979,223.0,731.0,54,All-Steel,
Hopewell Centre,Hong Kong,1981,222.0,728.0,64,All-Concrete,Office
Detroit Marriott at the Renaissance Center,Detroit,1977,221.0,727.0,70,All-Concrete,Hotel
BNY Mellon Center,Pittsburgh,1983,221.0,725.0,54,All-Steel,Office
3 Houston Center,Houston,1982,221.0,725.0,52,Concrete-Steel Composite,
Westin Peachtree Plaza,Atlanta,1976,220.0,723.0,73,All-Concrete,Hotel
Seattle Municipal Tower,Seattle,1990,220.0,722.0,57,All-Steel,Office
Fountain Place,Dallas,1986,219.0,720.0,62,All-Steel,Office
Figueroa at Wilshire,Los Angeles,1989,219.0,717.0,52,All-Steel,Office
Metropolitan Tower,New York City,1985,218.0,716.0,68,All-Concrete,Residential / Office
Republic Plaza,Denver,1984,218.0,714.0,56,All-Steel,Office
One Shell Plaza,Houston,1970,218.0,714.0,50,All-Concrete,Office
1801 California Plaza,Denver,1982,216.0,709.0,52,All-Steel,Office
Terminal Tower,Cleveland,1928,216.0,708.0,52,All-Steel,Office
