Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
One Liberty Plaza,New York City,1972,226.0,743.0,54,All-Steel,Office
Twenty Exchange,New York City,1931,226.0,741.0,57,All-Steel,Office
Parque Central Torre Officinas I,Caracas,1979,225.0,738.0,56,All-Concrete,Office
Shinjuku Mitsui Building,Tokyo,1974,225.0,738.0,55,All-Steel,Office
Bank of America Plaza,Los Angeles,1975,224.0,735.0,55,All-Steel,Office
TD Tower,Toronto,1967,223.0,731.0,56,All-Steel,
Shinjuku Center Building,Tokyo,1979,223.0,731.0,54,All-Steel,
Detroit Marriott at the Renaissance Center,Detroit,1977,221.0,727.0,70,All-Concrete,Hotel
Westin Peachtree Plaza,Atlanta,1976,220.0,723.0,73,All-Concrete,Hotel
One Shell Plaza,Houston,1970,218.0,714.0,50,All-Concrete,Office
First International Building,Dallas,1974,216.0,710.0,56,All-Steel,Office
Terminal Tower,Cleveland,1928,216.0,708.0,52,All-Steel,Office
JPMorgan Chase Tower,New York City,1960,216.0,707.0,52,All-Steel,
General Motors Building,New York City,1968,215.0,705.0,50,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213.0,700.0,50,All-Steel,Office
City National Tower,Los Angeles,1971,213.0,699.0,52,All-Steel,Office
Paul Hastings Tower,Los Angeles,1971,213.0,699.0,52,All-Steel,Office
500 Fifth Avenue,New York City,1931,212.0,697.0,59,All-Steel,Office
Hancock Whitney Center,New Orleans,1972,212.0,697.0,51,Concrete-Steel Composite,Office
Shinjuku Sumitomo Building,Tokyo,1974,212.0,696.0,52,All-Steel,Office
AMA Plaza,Chicago,1972,212.0,695.0,52,Concrete-Steel Composite,Office
Solow Building,New York City,1974,210.0,689.0,49,All-Steel,Office
140 Broadway,New York City,1967,210.0,688.0,52,All-Steel,Office
55 Water Street,New York City,1972,209.0,687.0,53,All-Steel,
277 Park Avenue,New York City,1963,209.0,687.0,50,All-Steel,Office
Tour Montparnasse,Paris,1973,209.0,686.0,58,Concrete-Steel Composite,Office
Shinjuku Nomura Building,Tokyo,1978,209.0,686.0,53,All-Steel,Office
Three Allen Center,Houston,1980,209.0,685.0,50,All-Steel,Office
LyondellBassell Tower,Houston,1978,207.0,678.0,47,Concrete-Steel Composite,Office
Tower Square,Atlanta,1980,206.0,677.0,47,All-Concrete,Office
Radisson Royal Hotel,Moscow,1955,206.0,676.0,34,All-Steel,Hotel
McGraw-Hill Building,New York City,1972,205.0,674.0,51,All-Steel,Office
One Grand Central Place,New York City,1930,205.0,673.0,53,All-Steel,Office
Paramount Plaza,New York City,1970,204.0,670.0,48,All-Steel,Office
BOK Tower,Tulsa,1975,203.0,667.0,52,All-Steel,Office
DBS Tower I,Singapore,1975,201.0,660.0,50,N/A,Office
Carlton Centre,Johannesburg,1973,201.0,660.0,49,All-Concrete,Office
Sompo Japan Head Office Building,Tokyo,1976,200.0,656.0,43,Concrete-Steel Composite,Office
One Wall Street,New York City,1931,199.0,654.0,50,All-Steel,Office
1100 Milam Building,Houston,1973,198.0,651.0,47,All-Steel,Office
Chanin Building,New York City,1929,198.0,649.0,56,All-Steel,Office
Overseas Chinese Banking Corp. Centre,Singapore,1976,198.0,649.0,52,Concrete-Steel Composite,Office
Cityplex Central Tower,Tulsa,1979,198.0,648.0,60,N/A,Office
245 Park Avenue,New York City,1967,198.0,648.0,47,All-Steel,Office
Richard J. Daley Center,Chicago,1965,198.0,648.0,31,All-Steel,Office
Lake Point Tower,Chicago,1968,196.0,645.0,70,All-Concrete,Residential
NYNEX Building,New York City,1974,196.0,644.0,43,All-Steel,Office
570 Lexington Avenue,New York City,1931,196.0,643.0,50,All-Steel,Office
Torre Colpatria,Bogota,1979,196.0,643.0,50,N/A,Office
1 New York Plaza,New York City,1969,195.0,640.0,50,All-Steel,Office
1 Dag Hammarskjold Plaza,New York City,1972,194.0,637.0,48,N/A,Office
345 Park Avenue,New York City,1969,193.0,634.0,44,All-Steel,Office
Sun Hung Kai Centre,Hong Kong,1980,193.0,633.0,51,All-Concrete,Office
Mercantile Building,New York City,1929,193.0,632.0,48,All-Steel,Office
Grace Plaza,New York City,1972,192.0,630.0,50,All-Steel,
Safeco Plaza,Seattle,1969,192.0,630.0,50,All-Steel,Office
Home Insurance Plaza,New York City,1966,192.0,630.0,44,All-Steel,Office
Centro de Comercio Internacional,Bogota,1974,192.0,630.0,50,N/A,Office
The National,Dallas,1965,191.0,628.0,52,All-Steel,Office
888 7th Avenue,New York City,1971,191.0,628.0,45,All-Steel,Office
1345 Avenue of the Americas,New York City,1969,191.0,625.0,50,All-Steel,Office
Waldorf Astoria New York,New York City,1931,191.0,625.0,47,All-Steel,Hotel
Rhodes State Office Tower,Columbus,1973,190.0,624.0,41,N/A,
International Plaza,Singapore,1976,190.0,623.0,50,N/A,Residential / Office
Singapore Land Tower,Singapore,1980,190.0,623.0,48,N/A,Office
Tour de la Bourse,Montreal,1964,190.0,623.0,47,All-Concrete,Office
